Temperature [Mev],"chi_2 (0.2, 1.4)","chi_2 (0.4, 1.4)","chi_2 (0.6, 1.4)","chi_2 (0.8, 1.4)","chi_2 (1.0, 1.4)","chi_2 (1.4, 1.4)"
10.0,1.1646080814163761e-11,1.1646080814167351e-11,1.164608081415981e-11,1.1646080814162716e-11,1.1646080814168687e-11,1.1646080814163414e-11
29.333333333333332,0.0005074006839911535,0.0005073984507316979,0.0005073962174891275,0.0005073939842632552,0.0005073917510532094,0.0005073872846837704
48.666666666666664,0.01535978702459862,0.015352958689551091,0.015346134959949211,0.015339318131326225,0.015332504629921875,0.015318891205490478
68.0,0.06246125068870111,0.06223264987520919,0.06200530350268205,0.06177926175009183,0.061554497258977894,0.06110873194522398
87.33333333333333,0.11882415872086886,0.11734751821228842,0.11590200832696382,0.11448221649227597,0.11309448616816513,0.11038230697044563
106.66666666666666,0.176857027269137,0.1719870724703648,0.16730443973297449,0.16281550261917713,0.1585373083215125,0.15042181159495022
126.0,0.2245660956485001,0.21374739128915565,0.2036942866570628,0.19434103791677268,0.18567332381910517,0.16993402397369525
145.33333333333331,0.25716307272647226,0.23844799473036116,0.22188141764687289,0.20683066344872605,0.19343625496490766,0.17015832672458936
164.66666666666666,0.2709450237976102,0.24439148687851664,0.2212243519120295,0.2014462557508812,0.18411206572021735,0.15570575385345461
184.0,0.25792650716360604,0.22562873498880906,0.19912539421612802,0.17788390873805077,0.1593121483297082,0.13006985369814697
203.33333333333331,0.21401224759746376,0.18345737774159368,0.15908239716500494,0.13954048663446886,0.12309234881487499,0.09800668630152036
222.66666666666666,0.17751443277010007,0.15030816862530824,0.128853347109197,0.11167123286728765,0.09775616141831256,0.0767040431263584
242.0,0.15777424747669738,0.13263528881791078,0.11308166237153554,0.09755408066344602,0.0850194521739262,0.06621374444858527
261.3333333333333,0.14394307430719672,0.12058093451527248,0.10247764372312684,0.08817037426685433,0.07669130501863648,0.05949207176182308
280.66666666666663,0.13305498978122926,0.11123679968638323,0.09437593621128915,0.0810787289887419,0.07040348944390382,0.0545336927548739
300.0,0.12392603632933549,0.10353564541699503,0.08778943873749397,0.07537883289092111,0.06543008808186124,0.0506403286511611
