Temperature [Mev],"chi_2 (0, 0.6)","chi_2 (0, 0.8)","chi_2 (0, 1.0)","chi_2 (0, 1.2)","chi_2 (0, 1.4)"
10.0,2.857718793632643e-27,1.3234361989273615e-26,1.1310323905293976e-23,6.392288095706792e-19,1.1646080814167716e-11
29.333333333333332,1.5540953765153314e-09,4.802430451218228e-09,6.570065985403262e-08,2.231469355321713e-06,0.0005074028056024056
48.666666666666664,6.658995704846409e-06,2.0428654901073054e-05,9.022660647422369e-05,0.0007135978111402795,0.015366278003548811
68.0,0.0002168969159470794,0.000561939372749914,0.0017601826143588794,0.007677946618786457,0.06267962875213036
87.33333333333333,0.0014616946942349485,0.003333457253078712,0.008401381735285374,0.02587863355843296,0.12025184917994555
106.66666666666666,0.004916363032740158,0.010183248874313695,0.022166613397755223,0.05488466742194112,0.18171549885593727
126.0,0.011388302962153145,0.02181551230080717,0.04247913287352478,0.09002580116569783,0.23563229413824177
145.33333333333331,0.02096666678808468,0.03763284130795836,0.06724512355056213,0.1264951261265274,0.2770854526329792
164.66666666666666,0.03268034790731869,0.055507900201722006,0.09237416638920855,0.1578504591787549,0.3003782115199417
184.0,0.043449761528681484,0.07039092192024603,0.11035037790199481,0.17417225937115313,0.294270351946647
203.33333333333331,0.04742052756981764,0.07396720908826718,0.11056373016723864,0.16389535904250396,0.2507249347100892
222.66666666666666,0.047077484820335566,0.07154451830294026,0.10359402860319494,0.147206833275805,0.21090930163555358
242.0,0.047218399327702325,0.07040469644821909,0.099575638812054,0.13739289690988649,0.18881603279936549
261.3333333333333,0.04715015894551488,0.0692196626624093,0.09614570628137085,0.1297196986577113,0.17299271676156602
280.66666666666663,0.04669713756134352,0.06769153711908699,0.09266428928707944,0.12285718267228427,0.16031995460441759
300.0,0.0458986861826458,0.06585859726478271,0.08908654490991254,0.11648804344662306,0.14944560280601232
