quark energy [Mev/fm3],quark pressure [Mev/fm3]
0.0,0.0
0.0,-4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,0.0
0.0,0.0
0.0,-4.936737896874071e-13
0.0,0.0
0.0,0.0
0.0,0.0
0.0,-4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,0.0
0.0,4.936737896874071e-13
0.0,-4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,9.873475793748141e-13
0.0,0.0
0.0,4.936737896874071e-13
0.0,9.873475793748141e-13
0.0,4.936737896874071e-13
0.0,1.4810213690622212e-12
0.0,4.936737896874071e-13
0.0,9.873475793748141e-13
0.0,4.936737896874071e-13
0.0,0.0
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,9.873475793748141e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,4.936737896874071e-13
0.0,9.873475793748141e-13
0.0,9.873475793748141e-13
0.0,1.4810213690622212e-12
0.0,9.873475793748141e-13
0.0,1.4810213690622212e-12
0.0,1.4810213690622212e-12
0.0,1.4810213690622212e-12
0.0,9.873475793748141e-13
0.0,9.873475793748141e-13
0.0,1.4810213690622212e-12
0.0,1.4810213690622212e-12
0.0,1.4810213690622212e-12
0.0,1.9746951587496282e-12
1.4054892792400478e-09,1.4810213690622212e-12
0.0,1.9746951587496282e-12
0.0,1.4810213690622212e-12
0.0,2.468368948437035e-12
0.0,2.468368948437035e-12
0.0,2.9620427381244423e-12
0.0,3.455716527811849e-12
0.0,3.455716527811849e-12
0.0,4.443064107186663e-12
1.9566067337773172,0.009975907776393391
7.9887062544489655,0.07955877427318753
20.666237843111038,0.2829833831823188
52.87063077337197,0.7845473627662221
381.9861735330141,12.210556846371164
404.9529468536975,17.925057042642436
427.1236037887361,23.952010676433527
449.12839130816485,30.281058552969167
471.3384682677009,36.90861067515486
493.9580384854861,43.834834625074144
517.1303587264408,51.062178951848246
540.9515294272101,58.59457681662377
565.5027070974766,66.43698326547394
590.8426007708101,74.59508835511464
617.0217822073065,83.07513320570989
644.0863039044899,91.88378687181316
672.0730299939012,101.02806151367778
701.0188286226133,110.51525348160834
730.9571344113389,120.35289973679822
761.9213016977535,130.54874692941826
793.9519005438488,141.11071723967683
827.0445544241808,152.0469400596517
861.2650362895436,163.36564157315854
896.6294349446404,175.0752299065967
933.1674877906225,187.18423901269836
970.9090307713345,199.70133211080758
1009.8800426136321,212.6352953492417
1050.110854349079,225.99503455983245
1091.62968137394,239.78957143365537
1134.4658069968327,254.02804041691314
1178.6476318481136,268.7196867057185
1224.2055351639713,283.87386404626227
1271.165808855926,299.5000331366755
1319.5611326723192,315.60776066747246
1369.4190564206917,332.206717618467
1420.7722354785456,349.30667699669686
1473.6475544614032,366.9175172838993
1528.0771850249803,385.04921658868255
1584.09155442264,403.7118550055554
1641.7208379042318,422.9156133603798
1700.9968027083203,442.6707725592612
1761.9507313342838,462.9877133729572
1824.613531117712,483.87691620356316
1889.0188163309715,505.34895954928123
1955.196896243816,527.4145223355468
2023.181277409654,550.0843809176804
2093.0040372690655,573.369410450115
2164.770740130923,597.2805414429007
2238.2985030315695,621.8289716875391
2313.8372384786567,647.0257430028869
2391.3464347634776,672.882164470559
2470.862082579119,699.4095993895372
2552.4056974620216,726.6195091476174
